,root_term,CUI,CUI_name,root_list
66,anxiety,C0003469;C0236748;C0270302;C0270303;C0270549;C3887605;C4064938;C0031572;C0154587;C0270305;C0338908;C0349231;C0349337;C1527281;C0003477;C2982365;C2985218;C3641330;C2736899;C0003471;C0030319;C0236659;C0236708;C0236712;C0236714;C0236715;C0236718;C0236721;C0236728;C0270590;C0455385;C3839284;C4237538;C4316469;C4510295;C4511572;C4517274;C4543692;C4546120;C5229858;C2874508;C1716768;C3263525;C4236934;C4237013;C4237031;C4237069;C4237242;C4237363;C3661804;C3840205;C4511573;C4545062;C4546269;C0154588;C0236730;C0270364;C0520607;C2874360;C2874378;C2874400;C2874416;C2874481;C2874494;C2874585;C2874602;C2874619;C2874638;C2874657;C2874690;C2874704;C2874718;C2874756;C2874769;C2874784;C2739388;C3263524;C3482343;C5197676;C4236961;C4237264;C4237304;C4237393;C0338997;C2919162;C3874856;C2874521;C2874545;C2874675;C2874803;C2874828;C2874852;C4511582;C4511584;C4511585;C4706725;C4706726;C4706727;C4706788;C4706815;C3482342;C2919549;C4275106;C2874568,Anxiety disorder,False
67,anxiety,C0270553;C0270563,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks",False
68,anxiety,C1279419,Parasitophobia,False
69,anxiety,C0700613;C0683457;C0376280;C0455385;C0455504;C0451497,Anxiety state,False
70,anxiety,C0008909,Claustrophobia,False
71,anxiety,C1279420,Anxiety neurosis,False
72,anxiety,C0270549;C2982365;C3641330;C3263525;C3263524;C3482343;C2919162;C3874856;C3482342;C2919549;C4275106,Generalized anxiety disorder,False
73,anxiety,C0270573;C0270578,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission",False
74,anxiety,C0086769;C3166414;C3175354;C0395001;C0395002;C1271071;C1562848;C3175356;C3176045;C3176046;C3176332;C3263499;C3263500,Panic attack,False
75,anxiety,C0558208,Anxiety about treatment,False
76,anxiety,C0558209,Anxiety about forced dependence,False
77,anxiety,C0558210,Anxiety about loss of control,False
78,anxiety,C0563164,Anxiety about resuming sexual relations,False
79,anxiety,C0558211,Worried about not coping with baby,False
80,anxiety,C0558212,Worried about being a bad father,False
81,anxiety,C0558213,Worried about being a bad mother,False
82,anxiety,C0563163,Anxiety about not coping with parenthood,False
83,anxiety,C0563162,Anxiety about making mistakes,False
84,anxiety,C0563161,Anxiety about altered body image,False
85,anxiety,C4510295;C4511573,Anxiety disorder caused by drug,False
86,anxiety,C0338906,Needle phobia,False
87,anxiety,C0395001;C0395002,Situational panic attack,False
88,anxiety,C0395002,Non-situational panic attack,False
89,anxiety,C0338908,Mixed anxiety and depressive disorder,False
90,anxiety,C0338909,Anxiety hysteria,False
91,anxiety,C0395003,Stage fright,False
92,anxiety,C0395004,Examination fear,False
93,anxiety,C0406668,Venereophobia,False
94,anxiety,C0343107,Syphilophobia,False
95,anxiety,C0406676,Bromisodrophobia,False
96,anxiety,C0233708,Bromhidrosiphobia,False
97,anxiety,C0424145,Anxiety about body function or health,False
98,anxiety,C0270555;C0270575,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission",False
99,anxiety,C0424154,Fear of having a heart attack,False
100,anxiety,C0474385,Anxiety about behavior or performance,False
101,anxiety,C0008909,Fear of enclosed spaces,False
102,anxiety,C0424182,Fear of tunnels,False
103,anxiety,C0424183,Fear of phone boxes,False
104,anxiety,C0424184,Fear of flying,False
105,anxiety,C0344318,Flying phobia,False
106,anxiety,C0424190;C0424192,Fear of contracting disease,False
107,anxiety,C0424192,Fear of contracting venereal disease,False
108,anxiety,C0424193,Fear of contracting radiation sickness,False
109,anxiety,C0031572;C0270587;C2919383;C2919658;C0338903;C0338904;C0338905;C2919627;C3697419;C3698196;C3176420;C3698355;C3698560;C4305176;C4305288;C4305297;C4305371,Social phobia,False
110,anxiety,C0424964,Maternal concern,False
111,anxiety,C0031570,School phobia,False
112,anxiety,C0233701,Fear of heights,False
113,anxiety,C0457022,Anxiety about losing control of bowels,False
114,anxiety,C0457023,Anxiety about wetting self,False
115,anxiety,C0457024,Anxiety about vomiting in public,False
116,anxiety,C0457025,Anxiety about having a fit,False
117,anxiety,C0457026,Anxiety about choking,False
118,anxiety,C0457027,Anxiety about swallowing,False
119,anxiety,C0457028,Anxiety about collapsing,False
120,anxiety,C0457029,Anxiety about shaking,False
121,anxiety,C0457030,Anxiety about sweating,False
122,anxiety,C0457031,Anxiety about dying,False
123,anxiety,C0457032,Anxiety about going crazy,False
124,anxiety,C0457033,Anxiety about losing emotional control,False
125,anxiety,C0457034,Anxiety about becoming fat,False
126,anxiety,C0457036,Anxiety about fainting,False
127,anxiety,C0457037,Anxiety about having a heart attack,False
128,anxiety,C0457041,Anxiety about appearing ridiculous,False
129,anxiety,C0457042,Anxiety about saying the wrong thing,False
130,anxiety,C2930747,Shell shock,False
131,anxiety,C0458631;C3169396;C0474385,Performance anxiety,False
132,anxiety,C0349744,Examination phobia,False
133,anxiety,C2874945,Fear of bridges,False
134,anxiety,C2874943;C3698185;C3258168;C3260000;C3259998;C3259999,Fear of injury,False
135,anxiety,C0270559;C0270564,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks",False
136,anxiety,C0577602,Parental anxiety,False
137,anxiety,C0700031;C4288511;C0457037;C4288514;C4288515;C4288516;C4288517;C4288518;C4288521;C4288522;C4288523;C4288524;C4288519;C4288520;C4288525;C3263499;C3263500,Anxiety attack,False
138,anxiety,C0730525;C1997862;C3696932,Chronic post-traumatic stress disorder,False
139,anxiety,C0751466,Phonophobia,False
140,anxiety,C0233712,Fear of school,False
141,anxiety,C0270554;C0270560;C0270566;C0270569;C0270570;C0270571;C0270572;C0270573;C0270578,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission",False
142,anxiety,C0270554;C0270569,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks",False
143,anxiety,C1282614,Stockholm syndrome,False
144,anxiety,C1136393,"Posttraumatic stress disorder, delayed onset",False
145,anxiety,C0270560;C0270570,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks",False
146,anxiety,C0270567;C0270577,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks",False
147,anxiety,C0233705;C4086300,Fear of getting cancer,False
148,anxiety,C0233703,Xenophobia,False
149,anxiety,C0236659;C2874378;C2874400;C2874416;C4236934,Alcohol-induced anxiety disorder,False
150,anxiety,C0231397;C0231398;C0231399;C0231400,Anticipatory anxiety,False
151,anxiety,C0236800;C3264595;C0236794;C0154457;C0270550;C0270556;C0270562;C0001819;C0270568;C0270574;C0270580;C0270581;C0270582;C0270551;C0270552;C0270553;C0270557;C0270558;C0270559;C0270563;C0270564;C0270565;C0270583;C0270584;C0270554;C0270555;C0270560;C0270561;C0270566;C0270567;C0270569;C0270570;C0270571;C0270575;C0270576;C0270577;C0270585;C0270586;C0270572;C0270573;C0270578;C0270579,Panic disorder with agoraphobia,False
152,anxiety,C0231399,"Anticipatory anxiety, moderate",False
153,anxiety,C1299963,Noise phobia,False
154,anxiety,C0030319;C0236800;C0270550;C0270556;C0270562;C3264595;C0236794;C1868650;C1868651;C0154457;C3472215;C0270568;C0270574;C0270580;C0270581;C0270582;C0001819;C0270551;C0270552;C0270553;C0270557;C0270558;C0270559;C0270563;C0270564;C0270565;C0270583;C0270584;C3472191;C0270554;C0270555;C0270560;C0270561;C0270566;C0270567;C0270569;C0270570;C0270571;C0270575;C0270576;C0270577;C0270572;C0270573;C0270578;C0270579;C0270585;C0270586;C0338914,Panic disorder,False
155,anxiety,C0270303;C0003471;C0338997,Anxiety disorder of adolescence,False
156,anxiety,C0004443,Avoidant disorder of childhood OR adolescence,False
157,anxiety,C0270567;C0270577,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission",False
158,anxiety,C0085380;C1291716,Dental phobia,False
159,anxiety,C0349231;C0031570;C0031572;C0085380;C0233711;C0236801;C0344318;C0349744;C0853870;C1112258;C0233705;C0338906;C0424150;C0730424;C1299963;C0270587;C2874936;C2874937;C2874938;C2874944;C2874946;C2874947;C0001818;C1291716;C1291717;C2919383;C2919658;C2874939;C2874940;C0338903;C0338904;C0338905;C2919627;C3697419;C3698196;C3176420;C2919386;C2919853;C3698355;C3698185;C3698560;C4305176;C4305288;C4305297;C4305371,Phobia,False
160,anxiety,C0349231;C0349337;C1274920,Phobic disorder,False
161,anxiety,C1271071,C/O - panic attack,False
162,anxiety,C0424164,Fear of transport,False
163,anxiety,C0424165,Fear of traveling in vehicles,False
164,anxiety,C1303047,Patient concerned about eyesight,False
165,anxiety,C1274918,Ritual hand washing,False
166,anxiety,C0233706,Acarophobia,False
167,anxiety,C1274920,Phobic fear of skin cancer,False
168,anxiety,C1562848,O/E - panic attack,False
169,anxiety,C0850602;C0730525;C1997862;C3696932,Chronic stress disorder,False
170,anxiety,C1997862,Nightmares associated with chronic post-traumatic stress disorder,False
171,anxiety,C2316249,Anxiety about loss of memory,False
172,anxiety,C0270582,Panic disorder without agoraphobia with severe panic attacks,False
173,anxiety,C2585697,Aerophobia,False
174,anxiety,C2733207,Complex posttraumatic stress disorder,False
175,anxiety,C2960553,Acute posttraumatic stress disorder following military combat,False
176,anxiety,C2960556,Delayed posttraumatic stress disorder following military combat,False
177,anxiety,C0038436;C3169812;C2733207;C1136393;C3165800;C3166103;C2960553;C2960556,Posttraumatic stress disorder,False
178,anxiety,C0270552;C0270557,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks",False
179,anxiety,C0270552;C0270557,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks",False
180,anxiety,C0270364,Psychoactive substance-induced organic anxiety disorder,False
181,anxiety,C0270554;C0270569,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission",False
182,anxiety,C0236715;C2874585;C2874602;C2874619;C4237069,Cocaine-induced anxiety disorder,False
183,anxiety,C0236748,Anxiety disorder due to a general medical condition,False
184,anxiety,C0270302;C0270305;C0349337;C1527281;C0003471;C0520607;C0338997,Anxiety disorder of childhood,False
185,anxiety,C0270583,Panic disorder without agoraphobia with panic attacks in partial remission,False
186,anxiety,C0233711,Zoophobia,False
187,anxiety,C0236801,Simple phobia,False
188,anxiety,C0278084,Erotophobia,False
189,anxiety,C0270562;C0270582;C0270565;C0270553;C0270559;C0270563;C0270564;C0270566;C0270567;C0270571;C0270577,Panic disorder with agoraphobia AND severe panic attacks,False
190,anxiety,C0236728;C4237363,Phencyclidine-induced anxiety disorder,False
191,anxiety,C3264595;C0236794;C0001819;C0270580;C0270581;C0270582;C0270583;C0270584;C0270586;C0270585,Panic disorder without agoraphobia,False
192,anxiety,C0476644,Physical AND emotional exhaustion state,False
193,anxiety,C0231400,"Anticipatory anxiety, severe",False
194,anxiety,C0233701,Acrophobia,False
195,anxiety,C0270574;C0270584;C0270555;C0270561;C0270567;C0270575;C0270576;C0270577;C0270579;C0270573;C0270578,Panic disorder with agoraphobia AND panic attacks in full remission,False
196,anxiety,C3249879,Combat fatigue,False
197,anxiety,C0270565;C0270553;C0270559;C0270563;C0270564;C0270566;C0270567;C0270571;C0270577,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND severe panic attacks",False
198,anxiety,C0231402;C0231399;C4511584;C4706726,Moderate anxiety,False
199,anxiety,C0001819;C0270586;C0270585,Agoraphobia without history of panic disorder,False
200,anxiety,C0270587,Generalized social phobia,False
201,anxiety,C0270551;C0270552;C0270553;C0270557;C0270563;C0270554;C0270555;C0270569;C0270575,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND mild panic attacks",False
202,anxiety,C0270568;C0270583;C0270554;C0270560;C0270566;C0270569;C0270570;C0270571;C0270572;C0270573;C0270578,Panic disorder with agoraphobia AND panic attacks in partial remission,False
203,anxiety,C0270561;C0270576,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in full remission",False
204,anxiety,C0270305;C0004443,Avoidant disorder of childhood,False
205,anxiety,C0270581,Panic disorder without agoraphobia with moderate panic attacks,False
206,anxiety,C0236816;C0747767;C0338916;C2960553;C0338912;C0338913;C0338914,Acute stress disorder,False
207,anxiety,C0270590,Anxiety hyperventilation,False
208,anxiety,C3696932,Chronic post-traumatic stress disorder following military combat,False
209,anxiety,C3840092,Anxiety about breathlessness,False
210,anxiety,C0001818;C1637378;C0236800;C3264595;C0236794;C3175795;C3175799;C0154457;C3472508;C0001819;C3175794;C3176417;C3472509;C0270550;C0270556;C0270562;C0270568;C0270574;C0270580;C0270581;C0270582;C3532824;C3532825;C3697060;C0270551;C0270552;C0270553;C0270554;C0270555;C0270557;C0270558;C0270559;C0270560;C0270561;C0270563;C0270564;C0270565;C0270566;C0270567;C0270569;C0270570;C0270571;C0270575;C0270576;C0270577;C0270583;C0270584;C0270585;C0270586;C0270572;C0270573;C0270578;C0270579,Agoraphobia,False
211,anxiety,C0231401;C2874949;C0231398;C4511585;C4706725,Mild anxiety,False
212,anxiety,C0497439,Fear of complications of pregnancy,False
213,anxiety,C4302270,Fear of having digestive disease,False
214,anxiety,C4302269,Fear of having cancer of digestive system,False
215,anxiety,C0497237,Fear of heart disease,False
216,anxiety,C0849932,Fear of cardiovascular disease,False
217,anxiety,C0848528,Fear of respiratory disease,False
218,anxiety,C0497346,Fear of cancer of respiratory system,False
219,anxiety,C4302067,Fear of endocrine disease,False
220,anxiety,C0850640,Fear of metabolic disease,False
221,anxiety,C4302066,Fear of nutritional disease,False
222,anxiety,C0497398,Fear of cancer of endocrine system,False
223,anxiety,C4302065,Fear of musculoskeletal disease,False
224,anxiety,C0497545,Fear of musculoskeletal cancer,False
225,anxiety,C0497224,Fear of ear disease,False
226,anxiety,C4302064,Fear of hematological disease,False
227,anxiety,C4302063,Fear of hematological cancer,False
228,anxiety,C4510175,Olfactory reference disorder,False
229,anxiety,C4510958,Fear of genital disease,False
230,anxiety,C0849924,Fear of breast disease,False
231,anxiety,C0497465,Fear of genital cancer,False
232,anxiety,C0497466,Fear of breast cancer,False
233,anxiety,C0497568,Fear of sexual dysfunction,False
234,anxiety,C4237538,Anxiety disorder caused by opioid,False
235,anxiety,C4511342,Obsessive compulsive disorder caused by cocaine,False
236,anxiety,C4517274,Anxiety disorder caused by methylenedioxymethamphetamine,False
237,anxiety,C4511573,Anxiety disorder caused by dissociative drug,False
238,anxiety,C4511572,Anxiety disorder caused by ketamine,False
239,anxiety,C4511555,Obsessive compulsive disorder caused by psychoactive substance,False
240,anxiety,C0848536,Fear of neurological disease,False
241,anxiety,C0849954,Fear of skin disease,False
242,anxiety,C0497207,Fear of eye disease,False
243,anxiety,C0270580,Panic disorder without agoraphobia with mild panic attacks,False
244,anxiety,C4543934,Fear of urinary disease,False
245,anxiety,C4545062,Anxiety disorder caused by synthetic cannabinoid,False
246,anxiety,C0270566;C0270571,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in partial remission",False
247,anxiety,C0233702,Algophobia,False
248,anxiety,C4546120,Anxiety disorder caused by stimulant,False
249,anxiety,C5190006,Obsessive compulsive disorder caused by stimulant,False
250,anxiety,C0497325,Fear of mental disorder,False
251,anxiety,C4546269,Anxiety disorder caused by synthetic cathinone,False
252,anxiety,C4546270,Obsessive compulsive disorder caused by synthetic cathinone,False
253,anxiety,C0270560;C0270570,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in partial remission",False
254,anxiety,C0270555;C0270575,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND mild panic attacks",False
255,anxiety,C5230176,Anxiety due to dementia,False
256,anxiety,C0030318;C0086769;C0030319;C0236800;C3264595;C0236794;C3899029;C0270550;C0270556;C0270562;C0270568;C0270574;C0270580;C0270581;C0270582;C3166414;C3175354;C1868650;C1868651;C0154457;C0231403;C0395001;C0395002;C1135947;C1271071;C1562848;C3472215;C0001819;C4330419;C4330454;C3174018;C3175352;C3175356;C3176045;C3176046;C3176089;C3176334;C0270551;C0270552;C0270553;C0270554;C0270555;C0270557;C0270558;C0270559;C0270560;C0270561;C0270563;C0270564;C0270565;C0270566;C0270567;C0270569;C0270570;C0270571;C0270575;C0270576;C0270577;C0270583;C0270584;C3472191;C3641391;C4289292;C2963998;C3175797;C3175801;C3176332;C0338914;C0417897;C0417898;C0417899;C0417900;C4305177;C4305299;C0270572;C0270573;C0270578;C0270579;C3828183;C4055302;C4055323;C3166723;C3174019;C3475799;C3483843;C3699027;C0270585;C0270586;C4305174;C4305595;C3263499;C3263500;C3475800;C3484046,Panic,False
257,anxiety,C0231403,Severe anxiety (panic),False
258,anxiety,C0233483,Free-floating anxiety,False
259,anxiety,C0270556;C0270581;C0270558;C0270552;C0270557;C0270559;C0270564;C0270560;C0270561;C0270570;C0270576,Panic disorder with agoraphobia AND moderate panic attacks,False
260,anxiety,C0236708;C4236961,Amphetamine-induced anxiety disorder,False
261,anxiety,C0270586;C0270585,Agoraphobia without history of panic disorder without limited symptom attacks,False
262,anxiety,C0270584,Panic disorder without agoraphobia with panic attacks in full remission,False
263,anxiety,C0270558;C0270552;C0270557;C0270559;C0270564;C0270560;C0270561;C0270570;C0270576,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND moderate panic attacks",False
264,anxiety,C0154616;C0338995,Shyness disorder of childhood,False
265,anxiety,C0270559;C0270564,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND severe panic attacks",False
266,anxiety,C0520607,"Separation anxiety disorder of childhood, early onset",False
267,anxiety,C0270561;C0270576,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND moderate panic attacks",False
268,anxiety,C0547006,Anxiety about blushing,False
269,anxiety,C0270550;C0270580;C0270551;C0270552;C0270553;C0270557;C0270563;C0270554;C0270555;C0270569;C0270575,Panic disorder with agoraphobia AND mild panic attacks,False
270,anxiety,C0270306;C0004443,Avoidant disorder of adolescence,False
271,anxiety,C4050613,Anxiety Scale (BASC-2),True
272,anxiety,C4553381,Anxiety Visual Analogue Scale,True
273,anxiety,C0003469,Anxiety Disorders,True
274,anxiety,C0338909,Anxiety hysteria,True
275,anxiety,C0700613,Anxiety state,True
276,anxiety,C0522181,Taphophobia,False
277,anxiety,C0522182,Nosophobia,False
278,anxiety,C0392331,Arachnophobia,False
279,anxiety,C0522183;C3698185,Fear of blood,False
280,anxiety,C0522184,Microphobia,False
281,anxiety,C0424191;C0522185;C3475668;C3482985,Fear of infection,False
282,anxiety,C0522185,Fear of contracting HIV infection,False
283,anxiety,C0522186,Toxicophobia,False
284,anxiety,C0522187,Tocophobia,False
285,anxiety,C0522188,Teratophobia,False
286,anxiety,C0522189,Pyrophobia,False
287,anxiety,C0522190,Astrapophobia,False
288,anxiety,C0522192,Nyctophobia,False
289,anxiety,C0522193,Theophobia,False
290,anxiety,C0522194,Androphobia,False
291,anxiety,C0522195,Gynephobia,False
292,anxiety,C0424154;C0497237,Fear of heart attack,False
293,anxiety,C0497238,Fear of hypertension,False
294,anxiety,C1291716,Unrealistic dental phobia,False
295,anxiety,C1291717,Heightened global phobia,False
296,anxiety,C0270566;C0270571,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks",False
297,anxiety,C0270573;C0270578,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission",False
298,anxiety,C0270555;C0270561;C0270567;C0270575;C0270576;C0270577;C0270579;C0270573;C0270578,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission",False
299,anxiety,C0270586;C0270585,Agoraphobia without history of panic disorder with limited symptom attacks,False
300,anxiety,C0270553;C0270563,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks",False
301,anxiety,C0581386,Chronic anxiety,False
302,anxiety,C0581387;C4706725;C4706726;C4706727;C4706788;C4706815,Recurrent anxiety,False
303,anxiety,C0154457;C0270550;C0270556;C0270562;C0270568;C0270574;C0270580;C0270581;C0270582;C0270551;C0270552;C0270553;C0270554;C0270555;C0270557;C0270558;C0270559;C0270560;C0270561;C0270563;C0270564;C0270565;C0270566;C0270567;C0270569;C0270570;C0270571;C0270575;C0270576;C0270577;C0270583;C0270584;C0270585;C0270586;C0270572;C0270573;C0270578;C0270579,Agoraphobia with panic attacks,False
304,anxiety,C0338905,"Social phobia, fear of eating in public",False
305,anxiety,C0338904,"Social phobia, fear of public speaking",False
306,anxiety,C0338903,"Social phobia, fear of public washing",False
307,anxiety,C0233704;C0497439,Fear of pregnancy,False
308,anxiety,C0233706,Fear of insects,False
309,anxiety,C0270553;C0270563,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks",False
310,anxiety,C1279419,Parasitophobia,False
311,anxiety,C0008909,Claustrophobia,False
312,anxiety,C1279420,Anxiety neurosis,False
313,anxiety,C0270573;C0270578,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission",False
314,anxiety,C0338906,Needle phobia,False
315,anxiety,C0338909,Anxiety hysteria,False
316,anxiety,C0406668,Venereophobia,False
317,anxiety,C0343107,Syphilophobia,False
318,anxiety,C0406676,Bromisodrophobia,False
319,anxiety,C0233708,Bromhidrosiphobia,False
320,anxiety,C0270555;C0270575,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission",False
321,anxiety,C0424154,Fear of having a heart attack,False
322,anxiety,C0008909,Fear of enclosed spaces,False
323,anxiety,C0424182,Fear of tunnels,False
324,anxiety,C0424183,Fear of phone boxes,False
325,anxiety,C0424184,Fear of flying,False
326,anxiety,C0344318,Flying phobia,False
327,anxiety,C0424190;C0424192,Fear of contracting disease,False
328,anxiety,C0424192,Fear of contracting venereal disease,False
329,anxiety,C0424193,Fear of contracting radiation sickness,False
330,anxiety,C0031572;C0270587;C2919383;C2919658;C0338903;C0338904;C0338905;C2919627;C3697419;C3698196;C3176420;C3698355;C3698560;C4305176;C4305288;C4305297;C4305371,Social phobia,False
331,anxiety,C0031570,School phobia,False
332,anxiety,C0233701,Fear of heights,False
333,anxiety,C0349744,Examination phobia,False
334,anxiety,C2874945,Fear of bridges,False
335,anxiety,C2874943;C3698185;C3258168;C3260000;C3259998;C3259999,Fear of injury,False
336,anxiety,C0270559;C0270564,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks",False
337,anxiety,C0751466,Phonophobia,False
338,anxiety,C0233712,Fear of school,False
339,anxiety,C0270554;C0270560;C0270566;C0270569;C0270570;C0270571;C0270572;C0270573;C0270578,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission",False
340,anxiety,C0270554;C0270569,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks",False
341,anxiety,C0270560;C0270570,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks",False
